row,Assembly,Length
964,Ref_Scaff,1863
965,Ref_Scaff,1856
966,Ref_Scaff,1854
967,Ref_Scaff,1851
968,Ref_Scaff,1849
969,Ref_Scaff,1843
970,Ref_Scaff,1843
971,Ref_Scaff,1843
972,Ref_Scaff,1843
973,Ref_Scaff,1842
974,Ref_Scaff,1841
975,Ref_Scaff,1841
976,Ref_Scaff,1832
977,Ref_Scaff,1832
978,Ref_Scaff,1830
979,Ref_Scaff,1829
980,Ref_Scaff,1829
981,Ref_Scaff,1826
982,Ref_Scaff,1819
983,Ref_Scaff,1818
984,Ref_Scaff,1818
985,Ref_Scaff,1813
986,Ref_Scaff,1813
987,Ref_Scaff,1806
988,Ref_Scaff,1803
989,Ref_Scaff,1802
990,Ref_Scaff,1801
991,Ref_Scaff,1800
992,Ref_Scaff,1800
993,Ref_Scaff,1798
994,Ref_Scaff,1797
995,Ref_Scaff,1793
996,Ref_Scaff,1792
997,Ref_Scaff,1787
998,Ref_Scaff,1786
999,Ref_Scaff,1785
1000,Ref_Scaff,1785
1001,Ref_Scaff,1776
1002,Ref_Scaff,1775
1003,Ref_Scaff,1775
1004,Ref_Scaff,1775
1005,Ref_Scaff,1770
1006,Ref_Scaff,1769
1007,Ref_Scaff,1766
1008,Ref_Scaff,1761
1009,Ref_Scaff,1756
1010,Ref_Scaff,1754
1011,Ref_Scaff,1751
1012,Ref_Scaff,1747
1013,Ref_Scaff,1747
1014,Ref_Scaff,1747
